config,arm,seed,participation_rate,basin,honest_given_rating,attacks_attempted_stored,total_ratings_final_ep,mean_score_stored,attacks_attempted,attacks_blocked,hold_rate,rho_defined,rho_stored,rho_recomputed,rho_matches_stored,mae_stored,score_std,n_distinct_scores,qual_std,n_score_points,rescore_ok
c10,A,3,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c10,A,4,1.0,adversarial-dominant,0.0,0,159,0.14941194041787328,0,0,,1,-0.03585491159319745,-0.03585491159319745,1,0.6490842257768289,0.04509524918847893,400,0.12266628813573002,400,1
c10,A,5,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c10,A,6,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c10,A,7,1.0,adversarial-dominant,0.0,0,159,0.17902372517791101,0,0,,1,-0.03409877561734761,-0.03409877561734761,1,0.6182752185370234,0.08447113927132904,400,0.12266628813573002,400,1
c10,A,8,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c10,A,9,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c10,B,0,1.0,honest-dominant,1.0,0,2000,0.4616772873495135,0,0,,1,-0.30704779404871274,-0.30704779404871274,1,0.34061653737841574,0.058080995577224,400,0.12266628813573002,400,1
c10,B,1,0.8807,honest-dominant,1.0,0,1730,0.19576138185026754,0,0,,1,-0.9241514634466464,-0.9241514634466464,1,0.596471554297104,0.12827727380237394,400,0.12266628813573002,400,1
c10,B,2,1.0,honest-dominant,1.0,0,2000,0.6583980676257761,0,0,,1,0.7715121969512309,0.7715121969512309,1,0.14548735533750964,0.08094121323056697,400,0.12266628813573002,400,1
c10,B,3,0.955775,honest-dominant,1.0,0,1909,0.6994194928296117,0,0,,1,0.8551737198357489,0.8551737198357489,1,0.10446730372147307,0.09420195482507367,400,0.12266628813573002,400,1
c10,B,4,0.99905,honest-dominant,0.999974976227416,0,1996,0.19730324315406889,0,0,,1,-0.9324313276957981,-0.9324313276957981,1,0.5954783935937069,0.1277760705116891,400,0.12266628813573002,400,1
c10,B,5,1.0,honest-dominant,1.0,0,2000,0.8101609387642377,0,0,,1,0.9388697429358932,0.9388697429358932,1,0.03150374128757618,0.12835090182809133,400,0.12266628813573002,400,1
c10,B,6,1.0,honest-dominant,1.0,0,2000,0.3030027856452659,0,0,,1,-0.7676652354077212,-0.7676652354077212,1,0.4859457616997681,0.08957950012232324,400,0.12266628813573002,400,1
c10,B,7,0.9975,honest-dominant,1.0,0,1989,0.21859919478036863,0,0,,1,-0.8999111244445277,-0.8999111244445277,1,0.5693663503457028,0.11985446076881036,400,0.12266628813573002,400,1
c10,B,8,1.0,honest-dominant,1.0,0,2000,0.188785809581536,0,0,,1,-0.924798904993156,-0.924798904993156,1,0.594403173909608,0.12775893499698046,400,0.12266628813573002,400,1
c10,B,9,0.99595,honest-dominant,1.0,0,1995,0.8143576374764792,0,0,,1,0.9388494928093299,0.9388494928093299,1,0.03147451997497096,0.1288748625579143,400,0.12266628813573002,400,1
c11,A,0,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,1,0.77,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,2,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c11,A,3,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
