config,arm,seed,participation_rate,basin,mean_ci_width,n_alpha_plus_beta,applied_evidence,all_scores_half,total_ratings_last_ep,rating_actions,total_actions,applied_per_agent_step,n_agents,rho_defined
c2,A,29,0.575725,honest-dominant,0.17443541468974022,70.48788842264314,66.48788842264314,0,1152,23029,40000,0.576,20,1
c2,B,0,1.0,honest-dominant,0.16689774060437546,121.50874916283347,117.50874916283347,0,2000,40000,40000,1.0,20,1
c2,B,1,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,B,2,1.0,honest-dominant,0.15909674349614275,114.61294998677853,110.61294998677853,0,2000,40000,40000,1.0,20,1
c2,B,3,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,B,4,1.0,honest-dominant,0.11655433802481341,237.0112270267036,233.0112270267036,0,2000,40000,40000,1.0,20,1
c2,B,5,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,B,6,1.0,honest-dominant,0.13761580550843536,166.26020515731446,162.26020515731446,0,2000,40000,40000,1.0,20,1
c2,B,7,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,B,8,1.0,honest-dominant,0.13126543735731958,179.78971541127393,175.78971541127393,0,2000,40000,40000,1.0,20,1
c2,B,9,1.0,honest-dominant,0.13023136000102964,209.76285791329187,205.76285791329187,0,2000,40000,40000,1.0,20,1
c2,B,10,1.0,mixed,0.15070910734543844,110.90368748820677,106.90368748820677,0,1769,40000,40000,0.8845,20,1
c2,B,11,1.0,honest-dominant,0.1363754776265909,188.74929209640854,184.74929209640854,0,2000,40000,40000,1.0,20,1
c2,B,12,1.0,honest-dominant,0.16500496670671733,118.4758436118239,114.4758436118239,0,2000,40000,40000,1.0,20,1
c2,B,13,0.99995,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,39998,40000,1.0,20,1
c2,B,14,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,B,15,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
