config,arm,seed,rho,tau_a,score_std,collapsed
c2,A,18,0.8942377139857123,0.7216040100250627,0.11285072370496733,0
c2,A,19,0.040358834447248894,0.010012531328320803,0.04426356747092308,0
c2,A,20,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c2,A,21,0.23636585228657675,0.16017543859649122,0.054641801796509036,0
c2,A,22,0.8624208276301726,0.6779949874686717,0.10367665008305464,0
c2,A,23,0.700439690248064,0.5127067669172932,0.0809136042437154,0
c2,A,24,-0.5063388592494074,-0.346453634085213,0.15786909712008512,0
c2,A,25,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,A,26,0.00018093863086644292,-0.0006516290726817042,0.02643219281617176,0
c2,A,27,-0.32192033506788414,-0.21591478696741856,0.15578722757642338,0
c2,A,28,-0.09709864382225593,-0.06255639097744362,0.11460398720648267,0
c2,A,29,-0.9024879530497065,-0.726015037593985,0.12726640366354672,0
c2,B,0,-0.6024112650704065,-0.4301754385964912,0.07604747204049113,0
c2,B,1,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c2,B,2,-0.7895550597191231,-0.5996741854636591,0.09662331811426397,0
c2,B,3,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,B,4,-0.7667899799373746,-0.5743358395989975,0.08403370226104828,0
c2,B,5,,0.0,0.0,1
c2,B,6,-0.78229107681923,-0.5879949874686716,0.08338019735457258,0
c2,B,7,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,B,8,-0.7509616935105845,-0.5543358395989975,0.09488334966426129,0
c2,B,9,0.5032516453227832,0.35155388471177945,0.062066919844566214,0
c2,B,10,-0.8894359964749778,-0.7153383458646616,0.11969960815069018,0
c2,B,11,-0.5673159207245044,-0.39909774436090223,0.06282549167338641,0
c2,B,12,-0.686214163838524,-0.5030075187969925,0.08232681655095789,0
c2,B,13,0.939646185288658,0.7921052631578948,0.12879490043664027,0
c2,B,14,-0.9217831361446007,-0.7641102756892231,0.12714432677418303,0
c2,B,15,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
